,id,Nombre,id_distrito
0,11,Palacio,1
1,12,Embajadores,1
2,13,Cortes,1
3,14,Justicia,1
4,15,Universidad,1
5,16,Sol,1
6,21,Imperial,2
7,22,Acacias,2
8,23,Chopera,2
9,24,Legazpi,2
10,25,Delicias,2
11,26,Palos de la Frontera,2
12,27,Atocha,2
13,31,Pacífico,3
14,32,Adelfas,3
15,33,Estrella,3
16,34,Ibiza,3
17,35,Los Jerónimos,3
18,36,Niño Jesús,3
19,41,Recoletos,4
20,42,Goya,4
21,43,Fuente del Berro,4
22,44,Guindalera,4
23,45,Lista,4
24,46,Castellana,4
25,51,El Viso,5
26,52,Prosperidad,5
27,53,Ciudad Jardín,5
28,54,Hispanoamérica,5
29,55,Nueva España,5
30,56,Castilla,5
31,61,Bellas Vistas,6
32,62,Cuatro Caminos,6
33,63,Castillejos,6
34,64,Almenara,6
35,65,Valdeacederas,6
36,66,Berruguete,6
37,71,Gaztambide,7
38,72,Arapiles,7
39,73,Trafalgar,7
40,74,Almagro,7
41,75,Ríos Rosas,7
42,76,Vallehermoso,7
43,81,El Pardo,8
44,82,Fuentelarreina,8
45,83,Peñagrande,8
46,84,Pilar,8
47,85,La Paz,8
48,86,Valverde,8
49,87,Mirasierra,8
50,88,El Goloso,8
51,91,Casa de Campo,9
52,92,Argüelles,9
53,93,Ciudad Universitaria,9
54,94,Valdezarza,9
55,95,Valdemarín,9
56,96,El Plantío,9
57,97,Aravaca,9
58,101,Los Cármenes,10
59,102,Puerta del Ángel,10
60,103,Lucero,10
61,104,Aluche,10
62,105,Campamento,10
63,106,Cuatro Vientos,10
64,107,Águilas,10
65,111,Comillas,11
66,112,Opañel,11
67,113,San Isidro,11
68,114,Vista Alegre,11
69,115,Puerta Bonita,11
70,116,Buenavista,11
71,117,Abrantes,11
72,121,Orcasitas,12
73,122,Orcasur,12
74,123,San Fermín,12
75,124,Almendrales,12
76,125,Moscardó,12
77,126,Zofío,12
78,127,Pradolongo,12
79,131,Entrevías,13
80,132,San Diego,13
81,133,Palomeras Bajas,13
82,134,Palomeras Sureste,13
83,135,Portazgo,13
84,136,Numancia,13
85,141,Pavones,14
86,142,Horcajo,14
87,143,Marroquina,14
88,144,Media Legua,14
89,145,Fontarrón,14
90,146,Vinateros,14
91,151,Ventas,15
92,152,Pueblo Nuevo,15
93,153,Quintana,15
94,154,La Concepción,15
95,155,San Pascual,15
96,156,San Juan Bautista,15
97,157,Colina,15
98,158,Atalaya,15
99,159,Costillares,15
100,161,Palomas,16
101,162,Piovera,16
102,163,Canillas,16
103,164,Pinar del Rey,16
104,165,Apóstol Santiago,16
105,166,Valdefuentes,16
106,171,Villaverde Alto - Casco Histórico de Villaverde,17
107,172,San Cristóbal,17
108,173,Butarque,17
109,174,Los Rosales,17
110,175,Ángeles,17
111,181,Casco Histórico de Vallecas,18
112,182,Santa Eugenia,18
113,183,Ensanche de Vallecas,18
114,191,Casco histórico de Vicálvaro,19
115,192,Valdebernardo,19
116,193,Valderrivas,19
117,194,El Cañaveral,19
118,201,Simancas,20
119,202,Hellín,20
120,203,Amposta,20
121,204,Arcos,20
122,205,Rosas,20
123,206,Rejas,20
124,207,Canillejas,20
125,208,El Salvador,20
126,211,Alameda de Osuna,21
127,212,Aeropuerto,21
128,213,Casco Histórico de Barajas,21
129,214,Timón,21
130,215,Corralejos,21
